(('obs0:0', 'obs1:12', 'obs2:17'), 4):   1.0 
(('obs0:0', 'obs1:12', 'obs2:17'), 5):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:17'), 6):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:17'), 7):   1.0 
(('obs0:0', 'obs1:12', 'obs2:17'), 8):   1.0 
(('obs0:0', 'obs1:12', 'obs2:17'), 9):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 0):   35.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 1):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 2):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 3):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 4):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 5):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 6):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 7):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 8):   1.0 
(('obs0:0', 'obs1:12', 'obs2:18'), 9):   1.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 0):   35.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 1):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 2):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 3):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 4):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 5):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 6):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 7):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 8):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:19'), 9):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 0):   53.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 1):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 2):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 3):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 4):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 5):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 6):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 7):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 8):   1.0 
(('obs0:0', 'obs1:12', 'obs2:20'), 9):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 0):   35.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 1):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 2):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 3):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 4):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 5):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 6):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 7):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 8):   1.0 
(('obs0:0', 'obs1:12', 'obs2:21'), 9):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 0):   55.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 1):   1.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 2):   1.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 3):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 4):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 5):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 6):   1.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 7):   1.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 8):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:22'), 9):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 0):   43.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 1):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 2):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 3):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 4):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 5):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 6):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 7):   -10.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 8):   1.0 
(('obs0:0', 'obs1:12', 'obs2:23'), 9):   1.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 0):   -10.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 1):   21.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 2):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 3):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 4):   1.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 5):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 6):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 7):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 8):   1.0 
(('obs0:0', 'obs1:13', 'obs2:14'), 9):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 0):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 1):   43.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 2):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 3):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 4):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 5):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 6):   1.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 7):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 8):   -9.0 
(('obs0:0', 'obs1:13', 'obs2:15'), 9):   1.0 
(('obs0:0', 'obs1:13', 'obs2:16'), 0):   -10.0 
(('obs0:0', 'obs1:13', 'obs2:16'), 1):   43.0 
