(('obs0:8', 'obs1:10'), 4):   -10.0 
(('obs0:8', 'obs1:10'), 5):   -10.0 
(('obs0:8', 'obs1:10'), 6):   -10.0 
(('obs0:8', 'obs1:10'), 7):   -10.0 
(('obs0:8', 'obs1:10'), 8):   433.0 
(('obs0:8', 'obs1:10'), 9):   1.0 
(('obs0:8', 'obs1:11'), 0):   1.0 
(('obs0:8', 'obs1:11'), 1):   1.0 
(('obs0:8', 'obs1:11'), 2):   1.0 
(('obs0:8', 'obs1:11'), 3):   -9.0 
(('obs0:8', 'obs1:11'), 4):   1.0 
(('obs0:8', 'obs1:11'), 5):   1.0 
(('obs0:8', 'obs1:11'), 6):   -9.0 
(('obs0:8', 'obs1:11'), 7):   1.0 
(('obs0:8', 'obs1:11'), 8):   1.0 
(('obs0:8', 'obs1:11'), 9):   405.0 
(('obs0:8', 'obs1:12'), 0):   -10.0 
(('obs0:8', 'obs1:12'), 1):   -10.0 
(('obs0:8', 'obs1:12'), 2):   -10.0 
(('obs0:8', 'obs1:12'), 3):   -10.0 
(('obs0:8', 'obs1:12'), 4):   -10.0 
(('obs0:8', 'obs1:12'), 5):   -10.0 
(('obs0:8', 'obs1:12'), 6):   -10.0 
(('obs0:8', 'obs1:12'), 7):   -10.0 
(('obs0:8', 'obs1:12'), 8):   407.0 
(('obs0:8', 'obs1:12'), 9):   -10.0 
(('obs0:8', 'obs1:13'), 0):   1.0 
(('obs0:8', 'obs1:13'), 1):   -9.0 
(('obs0:8', 'obs1:13'), 2):   1.0 
(('obs0:8', 'obs1:13'), 3):   -9.0 
(('obs0:8', 'obs1:13'), 4):   -9.0 
(('obs0:8', 'obs1:13'), 5):   1.0 
(('obs0:8', 'obs1:13'), 6):   1.0 
(('obs0:8', 'obs1:13'), 7):   -9.0 
(('obs0:8', 'obs1:13'), 8):   1.0 
(('obs0:8', 'obs1:13'), 9):   465.0 
(('obs0:9', 'obs1:10'), 0):   453.0 
(('obs0:9', 'obs1:10'), 1):   -9.0 
(('obs0:9', 'obs1:10'), 2):   -9.0 
(('obs0:9', 'obs1:10'), 3):   1.0 
(('obs0:9', 'obs1:10'), 4):   -9.0 
(('obs0:9', 'obs1:10'), 5):   -9.0 
(('obs0:9', 'obs1:10'), 6):   -9.0 
(('obs0:9', 'obs1:10'), 7):   -9.0 
(('obs0:9', 'obs1:10'), 8):   -9.0 
(('obs0:9', 'obs1:10'), 9):   -10.0 
(('obs0:9', 'obs1:11'), 0):   1.0 
(('obs0:9', 'obs1:11'), 1):   1.0 
(('obs0:9', 'obs1:11'), 2):   -10.0 
(('obs0:9', 'obs1:11'), 3):   1.0 
(('obs0:9', 'obs1:11'), 4):   1.0 
(('obs0:9', 'obs1:11'), 5):   -10.0 
(('obs0:9', 'obs1:11'), 6):   1.0 
(('obs0:9', 'obs1:11'), 7):   1.0 
(('obs0:9', 'obs1:11'), 8):   1.0 
(('obs0:9', 'obs1:11'), 9):   487.0 
(('obs0:9', 'obs1:12'), 0):   405.0 
(('obs0:9', 'obs1:12'), 1):   -9.0 
(('obs0:9', 'obs1:12'), 2):   1.0 
(('obs0:9', 'obs1:12'), 3):   -9.0 
(('obs0:9', 'obs1:12'), 4):   1.0 
(('obs0:9', 'obs1:12'), 5):   1.0 
(('obs0:9', 'obs1:12'), 6):   -9.0 
(('obs0:9', 'obs1:12'), 7):   1.0 
(('obs0:9', 'obs1:12'), 8):   1.0 
(('obs0:9', 'obs1:12'), 9):   -10.0 
(('obs0:9', 'obs1:13'), 0):   -10.0 
(('obs0:9', 'obs1:13'), 1):   -10.0 
(('obs0:9', 'obs1:13'), 2):   -10.0 
(('obs0:9', 'obs1:13'), 3):   -10.0 
(('obs0:9', 'obs1:13'), 4):   -10.0 
(('obs0:9', 'obs1:13'), 5):   -10.0 
(('obs0:9', 'obs1:13'), 6):   1.0 
(('obs0:9', 'obs1:13'), 7):   -10.0 
(('obs0:9', 'obs1:13'), 8):   1.0 
(('obs0:9', 'obs1:13'), 9):   399.0 
(('obs0:0', 'obs2:14'), 0):   5.0 
(('obs0:0', 'obs2:14'), 1):   -10.0 
(('obs0:0', 'obs2:14'), 2):   1.0 
(('obs0:0', 'obs2:14'), 3):   -9.0 
(('obs0:0', 'obs2:14'), 4):   1.0 
(('obs0:0', 'obs2:14'), 5):   1.0 
(('obs0:0', 'obs2:14'), 6):   -10.0 
(('obs0:0', 'obs2:14'), 7):   1.0 
